id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5744466,Rental unit in Zürich · ★4.80 · 2 bedrooms · 1 bed · 2 baths,8287735,Fuwa,Kreis 11,Seebach,47.41815,8.55864,Entire home/apt,125,14,128,2022-01-15,1.29,1,58,0,
5779827,Loft in Zürich · ★4.94 · 1 bedroom · 4 beds · 1 bath,24041926,Claus,Kreis 2,Enge,47.35965,8.52389,Entire home/apt,260,2,69,2023-05-24,0.71,1,154,16,
5835936,Rental unit in Zürich · ★4.42 · 1 bedroom · 2 beds · 1 shared bath,2150567,Michaela,Kreis 7,Hirslanden,47.36223,8.56676,Private room,76,1,21,2023-06-16,0.21,2,351,3,
6035917,Rental unit in Zürich · ★New · 2 bedrooms · 2 beds · 1 bath,1259206,Deniz,Kreis 6,Unterstrass,47.38935,8.53713,Entire home/apt,105,7,0,,,1,16,0,
6046542,Rental unit in Zürich · ★4.26 · Studio · 1 bed · 1 bath,13570663,Christian Robert,Kreis 1,Lindenhof,47.37343,8.54054,Entire home/apt,85,6,185,2023-05-26,1.86,34,335,8,
6080762,Rental unit in Zürich · ★4.50 · 1 bedroom · 2 beds · 1 bath,22600456,Jana,Kreis 12,Hirzenbach,47.39872,8.58788,Entire home/apt,93,2,15,2019-07-28,0.15,1,211,0,
6293591,Loft in Zürich · ★4.45 · Studio · 2 beds · 1 bath,75558392,Filipa,Kreis 3,Alt-Wiedikon,47.36706,8.51947,Entire home/apt,111,1,429,2023-06-21,4.37,5,139,58,
6534203,Rental unit in Zürich · ★4.90 · Studio · 2 beds · 1 bath,32750738,Diana,Kreis 11,Affoltern,47.41322,8.52696,Entire home/apt,92,3,60,2023-06-25,0.66,1,34,21,
6540490,Rental unit in Zürich · ★4.76 · 1 bedroom · 1 bed · 1 bath,34205281,Zoe,Kreis 7,Hottingen,47.37065,8.55371,Entire home/apt,130,4,35,2023-06-14,0.36,1,27,6,
6571506,Rental unit in Zürich · ★4.91 · 2 bedrooms · 2 beds · 1 bath,34370813,Ladina,Kreis 4,Hard,47.37528,8.51845,Entire home/apt,135,3,46,2023-03-12,0.47,2,36,9,
6752793,Rental unit in Zürich · ★4.89 · Studio · 1 bed · 1 private bath,24506658,Anka,Kreis 7,Fluntern,47.37905,8.55564,Private room,70,1,125,2019-11-01,1.29,1,30,0,
6787492,Rental unit in Zürich · ★4.73 · 1 bedroom · 1 bed · 1 bath,23561865,Tania,Kreis 1,Rathaus,47.37118,8.54444,Entire home/apt,139,2,182,2023-01-06,2.04,55,4,1,
6806405,Rental unit in Zürich · ★4.71 · 1 bedroom · 2 beds · 1 bath,23561865,Tania,Kreis 1,Lindenhof,47.37216,8.54103,Entire home/apt,179,2,107,2023-06-28,1.12,55,23,10,
6857376,Rental unit in Zürich · ★4.91 · 2 bedrooms · 4 beds · 1 bath,34541936,Strahinja,Kreis 4,Hard,47.37792,8.51425,Entire home/apt,233,1,402,2023-06-20,5.90,11,18,75,
6858968,Rental unit in Zürich · ★5.0 · 2 bedrooms · 2 beds · 1 bath,773469,Cécile,Kreis 8,Mühlebach,47.36555,8.54881,Entire home/apt,190,5,15,2022-03-07,0.16,1,331,0,
6930672,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 bath,20803042,Lukas,Kreis 4,Langstrasse,47.37563,8.53061,Entire home/apt,280,3,7,2022-12-13,0.17,1,0,2,
6996487,Home in Zürich · 1 bedroom · 1 bed · 3 shared baths,36591564,Daniela,Kreis 6,Oberstrass,47.39312,8.55122,Private room,600,3,0,,,1,365,0,
7173780,Rental unit in Zürich · ★4.77 · 1 bedroom · 2 beds · 1 bath,1264078,Francesca,Kreis 4,Langstrasse,47.37882,8.52482,Entire home/apt,125,2,61,2023-05-07,0.63,1,180,9,
7198903,Rental unit in Zürich · ★4.86 · 1 bedroom · 1 bed · 1.5 baths,3523065,Mohsin,Kreis 8,Weinegg,47.36456,8.55458,Entire home/apt,180,2,10,2020-03-09,0.11,1,5,0,
7317174,casa particular in Zürich · ★4.79 · 1 bedroom · 1 bed · 1 shared bath,38333692,Seraya,Kreis 12,Schwamendingen-Mitte,47.40545,8.56256,Private room,77,2,24,2023-06-18,1.66,2,82,19,
7449801,Condo in Zürich · ★4.95 · 1 bedroom · 1 bed · 1 shared bath,2904606,Sigrid,Kreis 7,Hottingen,47.36775,8.55742,Private room,89,5,42,2023-01-02,0.45,2,181,4,
7551201,Rental unit in Zürich · ★4.95 · 1 bedroom · 1 bed · 1 bath,4895760,Johannes,Kreis 8,Mühlebach,47.35355,8.55998,Entire home/apt,83,2,165,2023-06-25,1.74,1,0,22,
7589458,Rental unit in Zürich · ★4.63 · 1 bedroom · 1 bed · 1 shared bath,39800475,Jun,Kreis 11,Oerlikon,47.41202,8.54668,Private room,63,1,126,2023-06-11,1.35,2,325,93,
7599396,Rental unit in Zürich · ★4.80 · 2 bedrooms · 2 beds · 1 bath,9176822,Ferrat,Kreis 4,Hard,47.37571,8.517,Entire home/apt,195,7,10,2019-09-30,0.10,2,76,0,
7613086,Hut in Zurich · ★4.59 · 1 bedroom · 1 bed · 1 shared bath,39800475,Jun,Kreis 11,Oerlikon,47.40874,8.54407,Private room,65,1,105,2023-06-11,1.10,2,341,51,
7646490,Loft in Zürich · ★4.72 · 1 bedroom · 2 beds · 1 bath,4387358,Mo & Angelika,Kreis 9,Altstetten,47.38479,8.49355,Entire home/apt,120,30,19,2019-11-04,0.20,3,116,0,
7673299,Home in  Zürich · ★4.90 · 1 bedroom · 1 bed · 1.5 shared baths,19610180,Rossana,Kreis 9,Altstetten,47.38048,8.48117,Private room,45,30,58,2023-05-16,0.61,16,196,6,
7673510,Guesthouse in Zürich · ★4.83 · 1 bedroom · 1 bed · 1.5 shared baths,19610180,Rossana,Kreis 9,Altstetten,47.38002,8.48089,Private room,42,30,64,2023-05-23,0.67,16,106,12,
7726353,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bath,40598152,Patricia,Kreis 5,Escher Wyss,47.38771,8.51415,Entire home/apt,119,3,7,2023-05-27,0.08,1,200,4,
7737458,Rental unit in Zürich · ★4.61 · 1 bedroom · 1 bed · 1 bath,40667302,Peter/Engin,Kreis 7,Fluntern,47.37749,8.56042,Entire home/apt,190,2,18,2022-08-15,0.19,14,325,1,
7738385,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,8849758,Miguel,Kreis 7,Hirslanden,47.36077,8.56745,Private room,50,10,8,2020-08-30,0.09,1,179,0,
7739547,Rental unit in Zürich · ★4.86 · 1 bedroom · 1 bed · 1 bath,40667302,Peter/Engin,Kreis 7,Fluntern,47.37895,8.55839,Entire home/apt,180,2,42,2022-08-12,0.44,14,289,2,
7741739,Rental unit in Zürich · ★4.86 · Studio · 1 bed · 1 bath,40667302,Peter/Engin,Kreis 4,Hard,47.37765,8.51169,Entire home/apt,175,5,7,2022-07-31,0.07,14,327,2,
7746167,Rental unit in Zürich · ★4.98 · 1 bedroom · 2 beds · 1 shared bath,9176822,Ferrat,Kreis 3,Sihlfeld,47.37398,8.51586,Private room,107,14,42,2023-06-01,0.45,2,84,6,
7756218,Villa in Zürich · ★4.68 · 1 bedroom · 1 bed · 2 shared baths,40667302,Peter/Engin,Kreis 7,Fluntern,47.37753,8.56021,Private room,150,1,22,2023-04-28,0.26,14,358,6,
7774678,Rental unit in Zürich · ★4.67 · 1 bedroom · 1 bed · 1 shared bath,40898714,Alessandra,Kreis 4,Werd,47.37091,8.52627,Private room,40,30,6,2023-01-07,0.06,1,0,5,
7841685,Rental unit in Zürich · ★4.81 · 1 bedroom · 1 bed · 1.5 baths,475053,James,Kreis 1,Rathaus,47.37137,8.54428,Entire home/apt,411,1,93,2023-03-29,0.97,16,354,18,
7847108,Rental unit in Zürich · ★4.46 · 1 bedroom · 1 bed · 1 bath,2150567,Michaela,Kreis 7,Hirslanden,47.36307,8.56628,Entire home/apt,78,2,26,2023-06-21,0.30,2,337,9,
7927329,Rental unit in Zürich · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,39464144,Ingrid,Kreis 6,Oberstrass,47.39641,8.55177,Private room,50,30,3,2023-05-30,0.06,2,212,1,
8093940,Villa in Zürich · ★4.66 · 1 bedroom · 1 bed · 2 shared baths,40667302,Peter/Engin,Kreis 7,Fluntern,47.37745,8.55867,Private room,136,1,32,2023-05-31,0.36,14,212,5,
8094116,Villa in Zürich · ★4.60 · Studio · 1 bed · 2 shared baths,40667302,Peter/Engin,Kreis 7,Fluntern,47.37913,8.5601,Private room,130,1,20,2023-04-02,0.25,14,313,6,
8169064,Rental unit in Zürich · ★4.56 · 1 bedroom · 1 bed · 1.5 shared baths,43111694,Susanna,Kreis 7,Witikon,47.357601,8.59931,Private room,45,28,25,2023-01-31,0.27,13,157,3,
