"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","MunicipalityBFSNr","FactsEnglish","OffencesTotal","Residents","BurglariesPerResident","avg.price"
16595352,"Quiet, good location, public transport, Parking","Kreis 11","Oerlikon",47.40637,8.54971,"Entire home/apt",68,261,"TotalCrime",400,73223,0.00546276443194078,1540
16611283,"Zentrales Businessappartment","Kreis 4","Werd",47.37199,8.52825,"Entire home/apt",200,261,"TotalCrime",303,27765,0.010913019989195,1656
16735328,"Cozy attic Loft - 10 min to HB","Kreis 6","Oberstrass",47.38456,8.55001,"Entire home/apt",92,261,"TotalCrime",221,33665,0.00656468141987227,1731
16791727,"Downtown Penthouse Apartment, including Parking","Kreis 4","Langstrasse",47.37455,8.52999,"Entire home/apt",440,261,"TotalCrime",303,27765,0.010913019989195,1656
16864720,"2.5 room apartment in Zurich-Oerlikon (BA-11)","Kreis 11","Oerlikon",47.4102,8.54207,"Entire home/apt",108,261,"TotalCrime",400,73223,0.00546276443194078,1540
16875656,"4.5 room apartment in Zurich-Oerlikon (BA-12)","Kreis 11","Oerlikon",47.40919,8.54202,"Entire home/apt",130,261,"TotalCrime",400,73223,0.00546276443194078,1540
16881290,"Bright, Central Room with a private balcony!!","Kreis 11","Seebach",47.41602,8.54667,"Private room",64,261,"TotalCrime",400,73223,0.00546276443194078,1540
16938543,"loft","Kreis 10","Wipkingen",47.39295,8.51782,"Entire home/apt",98,261,"TotalCrime",180,39719,0.00453183614894635,1614
16940188,"Gemütliche Wohnung am Stadtrand","Kreis 2","Leimbach",47.33002,8.5161,"Private room",108,261,"TotalCrime",251,35494,0.00707161773820927,1803
17023300,"Room 6 - Toblerplatz, Zuriberg","Kreis 7","Fluntern",47.37966,8.55916,"Private room",100,261,"TotalCrime",184,37662,0.00488556104296107,1992
17032745,"3.5 room apartment in Zurich-Oerlikon (BA-32)","Kreis 11","Oerlikon",47.40901,8.54204,"Entire home/apt",147,261,"TotalCrime",400,73223,0.00546276443194078,1540
17083952,"Spacious family home in Downtown Switzerland","Kreis 2","Enge",47.36723,8.52632,"Entire home/apt",499,261,"TotalCrime",251,35494,0.00707161773820927,1803
17094910,"Wohnung mit grossem sonnigen Süd-Balkon/ 5' bis HB","Kreis 9","Altstetten",47.38882,8.48126,"Entire home/apt",299,261,"TotalCrime",350,55824,0.00626970478647177,1569
