"id","name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price"
649880284283413248,"(8) Room in a Central & Cosy Apartment in Zurich","Kreis 5","Gewerbeschule",47.38411,8.53314,"Private room",120
650600857656979200,"Sehr zentral mitten in Zürich kreis 6","Kreis 6","Oberstrass",47.38936,8.54557,"Private room",65
651120383535518208,"Bijoux at beautiful, central location","Kreis 6","Unterstrass",47.3857359,8.542671,"Entire home/apt",110
651301259359743744,"Spacious and bright apartment close to Zurich lake","Kreis 8","Mühlebach",47.3637682,8.5509684,"Entire home/apt",79
651429069182274176,"5min from the Lake and close to Center apartment","Kreis 2","Wollishofen",47.33928,8.5318,"Entire home/apt",200
651723767873688192,"Wohnen am Helvetiaplatz EFESTO","Kreis 4","Langstrasse",47.37699,8.52371,"Entire home/apt",150
652808504268067328,"Zürich Rare Find with Privacy in Prime Location","Kreis 6","Oberstrass",47.39056247563,8.55245081481934,"Entire home/apt",210
653242063441501440,"Helles Zimmer mit guter Tram Anbindung","Kreis 12","Schwamendingen-Mitte",47.40405,8.55748,"Private room",74
653289196048895872,"Wunderschöne Wohnung an Top Lage mit Terrasse","Kreis 5","Escher Wyss",47.38737,8.5225,"Entire home/apt",280
653297247567470976,"Weinegg 4.5 Room w/ Storage & W/D, near Market","Kreis 7","Hirslanden",47.3638635,8.5594079,"Entire home/apt",319
653297601716985472,"Fluntern 4.5 Room w/ Storage & W/D, near Market","Kreis 7","Fluntern",47.3840998,8.5564858,"Entire home/apt",363
653500049074812032,"Kleines Zimmer mit grossem Vorraum und Terrasse","Kreis 5","Gewerbeschule",47.38461,8.52883,"Private room",120
654097074610481536,"2 Bedroom,2 Bathroom,2 Kitchen flat- Zurich Center","Kreis 1","Rathaus",47.37494,8.54477,"Entire home/apt",529
654212634864472448,"Perfekte Stadtlage am Fluss","Kreis 10","Wipkingen",47.39346,8.52074,"Entire home/apt",85
654318950541773952,"Appartement calme - 5min de Bellevue / 2min du lac","Kreis 8","Mühlebach",47.3620720846664,8.55126052380371,"Entire home/apt",130
654343637127127552,"Gästezimmer mit Blick über den Zürichsee","Kreis 2","Wollishofen",47.33861,8.53843,"Private room",200
654792868738733184,"City flat in the coolest district of Zurich","Kreis 3","Sihlfeld",47.37312,8.51492,"Private room",85
654839171732045056,"grosses Zimmer mit Balkon","Kreis 3","Sihlfeld",47.36856,8.52476,"Private room",95
655493833085735680,"Wohnung sehr zentral","Kreis 5","Gewerbeschule",47.38464,8.52654,"Entire home/apt",86
655615107901625728,"Cosy flat surrounded by nature in Zurich, Enge.","Kreis 2","Enge",47.35643,8.52766,"Entire home/apt",150
656457522550739328,"Modern Apartment in the center of Zurich","Kreis 5","Escher Wyss",47.38761,8.51348,"Entire home/apt",150
656566836639646080,"Cuarto privado en el centro de Zurich","Kreis 10","Wipkingen",47.39325,8.52658,"Private room",65
657750324365906432,"Beautiful apartment in Zurich trendy neighbourhood","Kreis 3","Sihlfeld",47.37351,8.51841,"Entire home/apt",90
658004802598830464,"Central Downtown Studio with Air Conditioner (AC)","Kreis 1","Hochschulen",47.37676,8.54495,"Entire home/apt",130
658287952145617920,"Zimmer in Zürich","Kreis 3","Sihlfeld",47.36602,8.52269,"Private room",65
658459793628317184,"Privatzimmer in freistehendem Haus mit Garten","Kreis 7","Witikon",47.3615815,8.5782122,"Private room",109
658476210253866368,"PedestrianArea close to river. All around","Kreis 1","Rathaus",47.37273,8.54296,"Entire home/apt",160
658524223586428928,"Tolle Wohnung mit grandioser Aussicht","Kreis 9","Albisrieden",47.3804,8.49529,"Entire home/apt",195
659207659570489344,"Private room in apartment","Kreis 10","Höngg",47.4064803,8.4894878,"Private room",55
659763931685136768,"Great & spacious apartment by the opera and lake","Kreis 8","Mühlebach",47.36293,8.55023,"Entire home/apt",155
659932873463583360,"Quiet 3 bedroom apartment in hip Wiedikon","Kreis 3","Alt-Wiedikon",47.3677686845743,8.51513687521219,"Entire home/apt",200
659935026967826560,"Neu renovierte und möblierte Wohnung","Kreis 5","Gewerbeschule",47.3813623,8.5334636,"Entire home/apt",597
660034265571580928,"BEST location, shared apt for up to 4 guests ☆","Kreis 4","Hard",47.37684,8.5154,"Private room",80
660520878804443648,"Nice 1,5 rooms apartment in Zürich","Kreis 9","Altstetten",47.38773,8.4852,"Entire home/apt",85
660605388421582976,"Habitación cómoda","Kreis 11","Affoltern",47.41761,8.50905,"Private room",95
660894839421517056,"Cozy Flat in Zürich Wipkingen","Kreis 10","Wipkingen",47.3952,8.52075,"Entire home/apt",150
661303123514482432,"Central location, large 1-Bedroom in Zürich City","Kreis 9","Altstetten",47.385,8.49214,"Private room",98
661338236840152192,"Unterstrass 4.5 Room w/ Storage & W/D","Kreis 6","Unterstrass",47.40106,8.54121,"Entire home/apt",211
661414871406422144,"1 Zimmer Appartement mitten in der Stadt Zürich.","Kreis 10","Wipkingen",47.39964,8.5259,"Entire home/apt",110
661632382681001984,"Huge 3 Room apartment, King Size Bed-Zurich Center","Kreis 8","Mühlebach",47.36458,8.54896,"Entire home/apt",140
662754085497680512,"Central  – Full Apartment- English/Espanol/Frances","Kreis 4","Langstrasse",47.37588,8.52227,"Entire home/apt",150
662865773797657984,"Ruhiges schönes Zimmer mit Bad/WC und viel  Charme","Kreis 11","Seebach",47.41509,8.54721,"Private room",79
662879661982502528,"The Suite over the pedestrian area of Zurich","Kreis 1","Rathaus",47.37602,8.5448,"Entire home/apt",194
663491801611555712,"amazing central apartment in Zürich","Kreis 8","Mühlebach",47.36375,8.55029,"Entire home/apt",95
663523902582904192,"Room with workspace and storage in Oerlikon","Kreis 6","Unterstrass",47.40148,8.53587,"Private room",56
663531586110233984,"Lovely 1 bedroom apartment in the heart of Zürich","Kreis 1","Rathaus",47.376,8.54348,"Entire home/apt",99
664150171616203648,"Lakeside Pied-à-terre in Zurich Seefeld","Kreis 8","Mühlebach",47.3557078129204,8.55774275958538,"Entire home/apt",170
664299489782967296,"Bright designer flat in the heart of Zurich","Kreis 1","Rathaus",47.37433,8.54409,"Entire home/apt",265
664302734942761856,"Zentrale Wohnung mit Dachterrasse","Kreis 7","Fluntern",47.3740497,8.5541685,"Entire home/apt",180
665226056408186880,"Lovely 1-room apartment  next to main station","Kreis 3","Alt-Wiedikon",47.36354,8.5195,"Entire home/apt",120
665726304658077312,"Cozy 2.5 Room Apt Zürich, most Center and quietly","Kreis 3","Friesenberg",47.36278,8.50329,"Entire home/apt",200
665959521235052928,"Forest view apartment","Kreis 9","Altstetten",47.39075,8.46822,"Entire home/apt",120
667030769129213184,"Schöne zentrale Wohnung im Herzen von Zürich","Kreis 3","Sihlfeld",47.3733016,8.5199238,"Private room",60
667356914073648256,"Loft-Like City Apartment in the Heart of Zurich","Kreis 4","Langstrasse",47.38065,8.5256,"Entire home/apt",188
667374832589351296,"Nice City-Apartment with Balcony","Kreis 7","Fluntern",47.37615,8.5603,"Entire home/apt",110
667796417135022464,"Ruhige Wohnung mit herrlichem Ausblick über Zürich","Kreis 10","Wipkingen",47.39585,8.52252,"Entire home/apt",100
667893072259890432,"Get Cozy Family Flat Zürich","Kreis 11","Affoltern",47.422503,8.4945104,"Entire home/apt",280
668495844558455168,"Zentrale, moderne, Familienfreundliche Wohnung","Kreis 11","Oerlikon",47.4135683609699,8.53999558836222,"Entire home/apt",195
668496661336591872,"Central Apartment with french balcony and terrace","Kreis 7","Hottingen",47.3691639,8.5533254,"Entire home/apt",175
668699952707526272,"3 minutes walk to lake and 5 to Bellevue","Kreis 8","Mühlebach",47.36358,8.55239,"Entire home/apt",226
668839556377128320,"Luxury Penthouse near the Dolder Hotel","Kreis 7","Hirslanden",47.36694,8.56875,"Entire home/apt",1199
669548147115911680,"Alte Stadtvilla mit Garten in Seenähe","Kreis 2","Wollishofen",47.3494174,8.533182,"Entire home/apt",156
669920764669870976,"2-Bedroom apartment in upscale Zürich area","Kreis 7","Fluntern",47.3838114,8.5732995,"Entire home/apt",170
669964392099122944,"Spacious 1-bedroom apartment with two balconies","Kreis 2","Wollishofen",47.35068,8.52694,"Entire home/apt",111
670266764871814144,"Cozy Loft Wohnung mit Dachterrasse, Spa- & Fitness","Kreis 2","Enge",47.36731,8.53452,"Entire home/apt",104
670594051190709632,"New Apartment ""Esperanza""","Kreis 6","Unterstrass",47.3952165625086,8.5450455416641,"Entire home/apt",87
670959087238176640,"Lovely lakeside loft","Kreis 8","Seefeld",47.36009,8.55188,"Entire home/apt",180
671610830278550400,"ID281R: Renovated 2-BR Downtown Stylish Apt","Kreis 4","Werd",47.37412,8.52122,"Entire home/apt",183
671714247042508928,"Schöne City-Wohnung mit Dachterrasse in Seenähe","Kreis 7","Hottingen",47.3655283,8.5558621,"Entire home/apt",189
672204327674232576,"Big Furnished room in the city next to lake","Kreis 8","Mühlebach",47.36229,8.55337,"Private room",94
672329460874109952,"Schöne und zentrale Wohnung in Zürich","Kreis 3","Sihlfeld",47.37575,8.51444,"Private room",120
673522463224022784,"Bright and cozy 2.5 apartment in Zurich","Kreis 7","Hottingen",47.36594,8.56288,"Entire home/apt",126
674412358369660288,"Schöne und zentrale Wohnung im Herzen Zürichs","Kreis 3","Sihlfeld",47.37607,8.51423,"Private room",120
674535978084757504,"2 Room Flat,Zurich Center-close to central station","Kreis 4","Langstrasse",47.37783,8.52933,"Entire home/apt",147
675924432548213760,"Big and Spacious Apartment with a nice a quite ter","Kreis 7","Hirslanden",47.35832,8.57163,"Entire home/apt",265
675928574277408000,"Nice and quite apartment for two - 10 min away fro","Kreis 7","Hirslanden",47.35987,8.57021,"Entire home/apt",202
675962396340121984,"Lovely 2-room apartment in the heart of Zürich","Kreis 6","Unterstrass",47.38285,8.54047,"Entire home/apt",134
677224688105371136,"Sharing apartment near to Triemli","Kreis 3","Friesenberg",47.36785,8.50174,"Private room",80
678195799301649280,"Neubau in Zürich-Leimbach","Kreis 2","Leimbach",47.32927,8.51385,"Entire home/apt",125
678675524744102144,"Grosse, ruhige Statdtwohnung.","Kreis 10","Höngg",47.4059942,8.4875936,"Entire home/apt",110
678729338863376896,"Bright apartment close to the lake and the city","Kreis 2","Wollishofen",47.35114,8.53247,"Entire home/apt",160
678757296633986048,"Fully refurbished studio in Zurich city center 22","Kreis 2","Enge",47.3616,8.53217,"Entire home/apt",119
